MAV,STD,RMS,VAR,WL,DMAV,Dedo
1012.9104227674584,1149.1758276574026,1528.1557452304314,1320605.0828720762,45511.14328419036,1006.3817974916805,Anular
1021.3483291604969,1097.154974534436,1490.7679494940116,1203749.0381456586,53313.44381843471,931.3310591872695,Anular
1203.6713128276733,1370.8798985198312,1807.6797282519512,1879311.6961657426,79554.19722859337,1072.5628341936688,Anular
1021.7663415626082,1041.8930809636176,1426.4277452835315,1085541.1921598597,72862.46844346327,869.0283203105671,Anular
899.3078340522386,883.1783162922304,1257.2142498047733,780003.938368779,44982.07528495436,714.7529558145999,Anular
911.2174052092713,952.2322774686808,1313.1475916638715,906746.3102531906,47700.834479204954,775.5917715301746,Anular
900.0225739623856,965.0987737062503,1309.4981472298218,931415.6430093083,59144.2758960662,804.6042655226348,Anular
1040.3052899508884,1025.8304288205509,1453.1932139351914,1052328.0686941552,59267.352900692895,842.7042374835326,Anular
935.7270714531063,803.2054993321084,1227.7955582037441,645139.0741573415,48650.117717905516,649.1018554491952,Anular
1166.5604021520792,1123.3404203720286,1605.948978571962,1261893.7000416056,70899.63048250356,878.2127805619238,Anular
1106.2646973466458,834.3514196963108,1381.9453739242742,696142.2915492493,41843.55099274717,710.879125578678,Anular
1014.4292020885274,950.9305639772826,1358.024742450154,904268.9375061529,70495.47235808482,778.0432222637202,Anular
744.4772634290803,735.5098439383058,1032.0216949575988,540974.730530151,33973.87534738215,576.2753562004627,Anular
908.63957827375,945.6487991172463,1304.1848501944796,894251.65127189,50402.1092115948,767.3394842927896,Anular
1066.7387335188494,1084.078414678352,1479.1461999912474,1175226.009171529,68557.4198386184,855.2099255164904,Anular
849.6560595424324,832.1747835192242,1180.1568347046737,692514.8703252677,40434.54537218688,659.5217772353419,Anular
1008.5298481546419,988.4962888973472,1406.5384129028741,977124.9131638277,56974.54855098443,783.7961784938524,Anular
968.3823737806853,895.7756564986041,1305.7888619401867,802414.0267755053,50709.91630631345,755.5016439133996,Anular
891.5886766590368,901.3473974073231,1250.0689803219875,812427.1308129549,60513.230432232536,701.5053594469804,Anular
1040.6692078870267,1126.2515716080488,1521.77450880858,1268442.6025495997,72207.0032526441,931.5742966521284,Anular
