MAV,STD,RMS,VAR,WL,DMAV,Dedo
1158.763967680521,1177.5141211090854,1647.4808152701046,1386539.505411302,45492.3016918377,1043.4988131786881,Anular
1168.7047722027983,1117.8901276408183,1607.147802901422,1249678.337476805,53275.899125747856,954.2349565201123,Anular
1381.0592190500367,1404.3813406508411,1949.093932722865,1972286.9499682537,79539.76854392882,1097.2363942120842,Anular
1169.4832809215147,1059.8136968402346,1537.7439183757026,1123205.0720101648,72837.95192469774,883.0380829371394,Anular
1027.0871028171166,890.1504002416685,1355.1460391201533,792367.7350504027,44973.37016727189,712.4060349342177,Anular
1040.7202205123765,968.1904386787071,1415.4894203970846,937392.7255488673,47687.41463970396,791.7714540580281,Anular
1027.850991643072,985.6270251675353,1411.5636848978502,971460.6327406053,59126.15477790215,817.9579943712845,Anular
1190.9518294927097,1032.606228228797,1566.6177271002584,1066275.6225769022,59247.429749039395,841.758488333234,Anular
1069.537935553062,790.6307532456123,1323.4052786772509,625096.9879777242,48624.97621036848,627.4097878444567,Anular
1337.637709140823,1125.5371041015674,1731.4285454870806,1266833.7727093427,70890.47545483416,860.4857011553751,Anular
1267.9308521348391,790.7651173330187,1489.7555057980317,625309.4707907028,41783.69739574118,638.5967697610835,Anular
1160.9705175928761,955.9436025124802,1463.9330096504323,913828.1711845387,70465.57988337164,777.9289204997792,Anular
847.0603283112172,747.756156306741,1112.0947359892875,559139.2692946313,33956.47248319703,571.3414538619248,Anular
1037.826821080806,961.496914246956,1405.8259267404692,924476.3161064181,50384.39750198941,779.8722345081635,Anular
1221.6820349381542,1103.2402437868027,1594.620458449702,1217139.0355107638,68533.12297958227,863.3856740782718,Anular
969.1341888678586,841.0752433630298,1271.9643838300885,707407.5649981798,40422.12660723326,661.6841752209145,Anular
1153.7588169460018,994.5057927623735,1516.2565212526622,989041.771837917,56955.86995131978,785.6597330110895,Anular
1107.2433583941188,895.477297491079,1407.5502551872792,801879.5903219264,50703.2129567876,753.8786062304926,Anular
1018.0766315394325,915.6594069602379,1347.4321210718883,838432.1495547745,60500.67176829607,708.5603933049913,Anular
1191.456065840155,1148.7107650390415,1640.6242634389919,1319536.4217165802,72189.96133010817,957.5430565832289,Anular
160.82580993466684,67.16130342614686,174.28591973834412,4510.640677898965,1289.4841022655633,53.52944847924403,Índice
166.91057531697749,84.00253244646967,186.85707267873104,7056.42545742019,2677.2413920125696,55.30289757518384,Índice
