MAV,STD,RMS,VAR,WL,DMAV,SSC,Dedo
1139.2242220195874,1195.9765254469255,1646.7573244445816,1430359.8494201007,45648.1490923503,1061.2491031712684,37,Anular
1153.9599602679393,1132.7878610046316,1606.5840342914403,1283208.3380394485,53442.092890325905,967.2006366013172,42,Anular
1374.1018343472738,1410.9133152258312,1948.8747037415749,1990676.3830815454,79715.93904908714,1103.2090816746104,39,Anular
1166.2656219189207,1063.605893333902,1537.5919138195393,1131257.4963346077,72971.27477659409,886.3990091549679,37,Anular
1022.4265211905881,895.4130386058126,1354.9244783309323,801764.5097052945,45139.369332070826,716.8094329755206,40,Anular
1033.7220536129682,975.3449371260979,1415.1840405037537,951297.7463775118,47857.472512572065,797.6299637978924,38,Anular
1017.6764496810534,995.924490939071,1411.105405078579,991865.5916522477,59285.98068451474,827.7801124629502,42,Anular
1190.9518294927097,1032.606228228797,1566.6177271002584,1066275.6225769022,59247.429749039395,841.758488333234,38,Anular
1069.537935553062,790.6307532456123,1323.4052786772509,625096.9879777242,48624.97621036848,627.4097878444567,39,Anular
1337.637709140823,1125.5371041015674,1731.4285454870806,1266833.7727093427,70890.47545483416,860.4857011553751,38,Anular
1267.9308521348391,790.7651173330187,1489.7555057980317,625309.4707907028,41783.69739574118,638.5967697610835,37,Anular
1160.9705175928761,955.9436025124802,1463.9330096504323,913828.1711845387,70465.57988337164,777.9289204997792,38,Anular
847.0603283112172,747.756156306741,1112.0947359892875,559139.2692946313,33956.47248319703,571.3414538619248,38,Anular
1037.826821080806,961.496914246956,1405.8259267404692,924476.3161064181,50384.39750198941,779.8722345081635,36,Anular
1221.6820349381542,1103.2402437868027,1594.620458449702,1217139.0355107638,68533.12297958227,863.3856740782718,35,Anular
969.1341888678586,841.0752433630298,1271.9643838300885,707407.5649981798,40422.12660723326,661.6841752209145,35,Anular
1153.7588169460018,994.5057927623735,1516.2565212526622,989041.771837917,56955.86995131978,785.6597330110895,38,Anular
1107.2433583941188,895.477297491079,1407.5502551872792,801879.5903219264,50703.2129567876,753.8786062304926,36,Anular
1018.0766315394325,915.6594069602379,1347.4321210718883,838432.1495547745,60500.67176829607,708.5603933049913,35,Anular
1191.456065840155,1148.7107650390415,1640.6242634389919,1319536.4217165802,72189.96133010817,957.5430565832289,39,Anular
125.95198411211511,102.59044934475502,161.6411374123109,10524.800296758744,1437.814327313055,79.10268238690692,23,Índice
166.91057531697749,84.00253244646967,186.85707267873104,7056.42545742019,2677.2413920125696,55.30289757518384,25,Índice
180.96153849050162,70.65412090016318,194.26549671267975,4992.0048001748755,1903.0660954589762,55.79515980178106,22,Índice
145.98904657720152,73.47901510479952,162.63463438677837,5399.165660771355,2309.767653073555,47.58716104585388,27,Índice
112.87344440732154,78.29048983537406,136.53773059721354,6129.4007986628085,1457.2204683788264,62.051000550018685,26,Índice
125.96104267479647,61.01689648208731,139.3798877312474,3723.0616563057592,1152.682785577558,40.255464721389586,22,Índice
49.7412186181506,68.33107819419217,83.75647323455264,4669.136247180804,496.6614330507422,63.39350159764449,26,Índice
127.94529845147163,118.47973138826433,173.62087829752667,14037.446749835268,1964.4963032654803,91.52074395522796,24,Índice
155.99750317302804,47.40740112507656,163.04196600155677,2247.46168143391,1565.7119842420825,37.97303273210188,24,Índice
